Name,Citation_Count,Degree_Centrality,Clustering_Coefficient,Eigenvector_Centrality,Efficiency,K_core
Nyna L.+Forman,0,4.949808937375017e-06,1.0,2.8223529732869504e-11,1.0,2
Miriam+Jaafar,7,9.899617874750034e-06,1.0,6.100180497568686e-08,1.0,4
Anita+Neumann,22,1.732433128081256e-05,1.0,1.1735158737568608e-08,1.0,7
Dragica+Knežević,3,2.4749044686875086e-06,0.0,2.019667861636456e-11,1.0,1
Bijaya+Acharya,0,4.949808937375017e-06,1.0,5.097754989939875e-08,1.0,2
Elisa+Miniussi,1,1.979923574950007e-05,1.0,1.0375774815570917e-07,1.0,8
Linda+Naamar,1,7.424713406062525e-06,1.0,3.193036314314245e-09,1.0,3
Tomoko+Suzuki,31,9.899617874750034e-06,1.0,4.278571316704785e-06,1.0,4
Alison+Spencer,8,1.2374522343437543e-05,1.0,8.245683200723333e-10,1.0,5
Yasusada+Yamada,14,1.732433128081256e-05,0.5238095238095238,3.6857128253984883e-06,0.8214285714285714,5
Barbara+Caccianiga,3,4.454828043637515e-05,1.0,1.260152341464245e-09,1.0,18
Dongyao+Li,0,2.4749044686875086e-06,0.0,1.2585600682040645e-06,1.0,1
Arunima+Mukherjee,7,4.949808937375017e-06,1.0,6.36901214280498e-08,1.0,2
Gloria R.+Aranda,12,4.949808937375017e-06,1.0,6.224938721225854e-09,1.0,2
Yanne+Chembo,8,1.484942681212505e-05,1.0,2.2389518584178655e-08,1.0,6
Andrea+Tillmanns,3,1.2374522343437543e-05,1.0,5.349809862209295e-12,1.0,5
Solène+Guitteny,36,2.4749044686875087e-05,0.9555555555555556,2.1429452263001732e-07,0.9818181818181818,10
Rupa+Chatterjee,108,3.712356703031263e-05,0.24761904761904763,7.338230643472256e-06,0.6708333333333333,6
Beatriz+Robles-Hernández,2,2.2274140218187576e-05,1.0,3.0182296827423085e-10,1.0,9
Anina+Leuch,0,1.2374522343437543e-05,1.0,1.8090953481547607e-07,1.0,5
Irina+Sushko,2,7.424713406062525e-06,1.0,1.0835070466883942e-09,1.0,3
Mayumi+Tsukamoto,2,9.899617874750034e-06,1.0,1.3833882373912098e-09,1.0,4
Dagmara+Sokolowska,5,9.899617874750034e-06,1.0,2.390089764066369e-13,1.0,4
Judith+Rensen,2,1.732433128081256e-05,1.0,2.140503185128399e-06,1.0,7
Heidi+Anderson,2,5.197299384243768e-05,0.5714285714285714,8.819018519066312e-06,0.8051948051948052,12
Ewelina+Szymanska,0,9.899617874750034e-06,1.0,5.9198997345764595e-08,1.0,4
Subhrangsu+Sarkar,1,7.424713406062525e-06,1.0,1.8708258998046455e-06,1.0,3
Nataliya+Makedonska,22,9.899617874750034e-06,1.0,1.2024124349108319e-07,1.0,4
Daniela+Stornaiuolo,25,3.712356703031263e-05,0.5428571428571428,3.6009320722081765e-07,0.8,8
Bree K.+Guerra,2,4.949808937375017e-06,1.0,5.327711447790535e-11,1.0,2
Arundhati S.+Jayarao,12,7.424713406062525e-06,0.6666666666666666,7.480451838404557e-08,0.9166666666666666,3
GariLynn+Billingsley,1,2.2274140218187576e-05,1.0,4.926919231018903e-06,1.0,9
Davorka+Azinović,1,7.424713406062525e-06,1.0,3.5685067574955614e-10,1.0,3
Mami+Iwata,1,2.4749044686875086e-06,0.0,2.5050578473075327e-10,1.0,1
